BESTELLIDENT;B_EMAIL;B_TELEFON;B_GEBDATUM;FLAG_LRIDENTISCH;FLAG_NEWSLETTER;Z_METHODE;Z_CARD_ART;Z_CARD_VALID;Z_LAST_NAME;WERT_BEST;TAG_BEST;TIME_BEST;ANZ_BEST;ANUMMER_01;ANUMMER_02;ANUMMER_03;ANUMMER_04;ANUMMER_05;ANUMMER_06;ANUMMER_07;ANUMMER_08;ANUMMER_09;ANUMMER_10;CHK_LADR;CHK_RADR;CHK_KTO;CHK_CARD;CHK_COOKIE;CHK_IP;FAIL_LPLZ;FAIL_LORT;FAIL_LPLZORTMATCH;FAIL_RPLZ;FAIL_RORT;FAIL_RPLZORTMATCH;SESSION_TIME;NEUKUNDE;ANZ_BEST_GES;WERT_BEST_GES;DATUM_LBEST;MAHN_AKT;MAHN_HOECHST;PROGNOSE_BETRUG
2621;ja;nein;1899-12-30 00:00:00.000;ja;nein;Rechnung;;6.2005;;32,8;Di;1899-12-30 12:15:00.000;1;307046;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2622;ja;nein;1961-01-26 00:00:00.000;ja;nein;Kreditkarte;Eurocard;9.2007;ja;46,95;Di;1899-12-30 13:39:00.000;3;406507;607046.0;202681.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2623;ja;nein;1986-07-19 00:00:00.000;ja;nein;Rechnung;;8.2006;;9,99;Mi;1899-12-30 10:25:00.000;1;102090;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;15;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2625;ja;ja;1950-02-04 00:00:00.000;ja;nein;Rechnung;;11.2006;;18;So;1899-12-30 06:38:00.000;1;104921;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2630;ja;nein;1986-11-09 00:00:00.000;ja;nein;Rechnung;;10.2007;;17,5;Sa;1899-12-30 14:00:00.000;1;602133;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;17;nein;1;74,48;2003-01-07 00:00:00.000;0;0;nein
2632;ja;nein;1950-03-17 00:00:00.000;ja;nein;Rechnung;;7.2006;;9,99;Do;1899-12-30 15:05:00.000;1;606310;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2633;ja;nein;1976-10-06 00:00:00.000;ja;nein;Kundenkarte;Kundenkarte;1.2006;ja;223,59;Di;1899-12-30 00:03:00.000;7;202611;402734.0;208500.0;105958.0;409736.0;406406.0;102089.0;;;;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein;7;nein;1;78,52;2001-04-11 00:00:00.000;0;1;nein
2636;ja;nein;1960-12-26 00:00:00.000;ja;nein;Rechnung;;2.2006;;37;Sa;1899-12-30 15:30:00.000;1;409333;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;nein;1;38,77;2003-03-13 00:00:00.000;0;2;nein
2642;ja;nein;1956-09-13 00:00:00.000;ja;nein;Lastschrift;;12.2007;ja;127,7;Fr;1899-12-30 10:17:00.000;4;108777;605580.0;202062.0;103639.0;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;nein;1;23,37;2001-12-10 00:00:00.000;0;0;nein
2643;ja;nein;1984-01-16 00:00:00.000;ja;nein;Rechnung;;5.2005;;39,5;Sa;1899-12-30 10:06:00.000;1;107610;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;3;nein;1;12,3;2001-03-17 00:00:00.000;0;2;nein
2644;ja;nein;1963-03-20 00:00:00.000;ja;nein;Rechnung;;11.2005;;12,6;Fr;1899-12-30 11:26:00.000;1;505580;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;13;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2647;ja;ja;1979-10-12 00:00:00.000;ja;nein;Kreditkarte;Amex;4.2006;ja;52;Mo;1899-12-30 14:41:00.000;1;402278;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2649;ja;ja;1899-12-30 00:00:00.000;nein;nein;Kreditkarte;Visa;9.2006;ja;18;Di;1899-12-30 19:00:00.000;1;207156;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2650;ja;nein;1982-01-11 00:00:00.000;ja;nein;Rechnung;;8.2005;;17,8;Sa;1899-12-30 18:22:00.000;1;408997;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2651;ja;nein;1986-07-02 00:00:00.000;nein;nein;Kreditkarte;Visa;6.2005;ja;51,2;Mi;1899-12-30 13:49:00.000;3;203776;302133.0;401402.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;nein;1;51,16;2001-09-03 00:00:00.000;1;1;nein
2652;ja;ja;1980-06-03 00:00:00.000;ja;nein;Kreditkarte;Visa;11.2006;ja;101,6;Di;1899-12-30 14:45:00.000;3;402634;604258.0;402116.0;;;;;;;;ja;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein;nein;7;nein;2;11,62;2002-08-17 00:00:00.000;0;0;ja
2654;ja;nein;1970-03-03 00:00:00.000;ja;nein;Rechnung;;2.2006;;57;So;1899-12-30 01:53:00.000;2;506398;306284.0;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;nein;1;18,57;2004-11-12 00:00:00.000;0;0;nein
2656;ja;nein;1953-01-15 00:00:00.000;nein;ja;Kreditkarte;Visa;2.2006;ja;34,5;Di;1899-12-30 08:53:00.000;1;101856;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2657;ja;nein;1981-09-29 00:00:00.000;nein;nein;Kreditkarte;Eurocard;5.2007;ja;34,5;Fr;1899-12-30 06:36:00.000;1;409006;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;4;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2659;ja;nein;1899-12-30 00:00:00.000;ja;nein;Lastschrift;;8.2006;ja;17,3;Sa;1899-12-30 05:20:00.000;2;309725;101511.0;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;13;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2660;ja;nein;1975-05-19 00:00:00.000;ja;nein;Rechnung;;8.2005;;29,99;Mo;1899-12-30 20:46:00.000;1;404341;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;nein;2;206,44;2004-09-10 00:00:00.000;0;1;nein
2661;nein;nein;1979-03-12 00:00:00.000;ja;nein;Kreditkarte;Eurocard;11.2006;ja;39,5;Mi;1899-12-30 23:31:00.000;1;201893;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;nein;2;151,78;2001-08-19 00:00:00.000;0;0;nein
2665;ja;nein;1960-05-19 00:00:00.000;ja;nein;Rechnung;;2.2007;;22,95;So;1899-12-30 18:41:00.000;1;108499;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;nein;2;156;2001-07-08 00:00:00.000;0;0;nein
2666;ja;ja;1968-11-13 00:00:00.000;nein;nein;Kreditkarte;Amex;11.2005;nein;37;Fr;1899-12-30 03:55:00.000;1;105555;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;14;nein;1;5,63;2001-08-01 00:00:00.000;0;0;nein
2669;ja;nein;1977-05-18 00:00:00.000;nein;nein;Kreditkarte;Visa;2.2005;ja;119,7;Mi;1899-12-30 22:10:00.000;3;404522;303136.0;409386.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;20;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2673;ja;nein;1976-05-06 00:00:00.000;ja;nein;Rechnung;;5.2007;;57,3;Mo;1899-12-30 11:38:00.000;2;109006;600476.0;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;1;nein;1;29,77;2003-01-28 00:00:00.000;0;0;nein
2678;nein;nein;1968-06-05 00:00:00.000;ja;nein;Kreditkarte;Visa;12.2006;ja;68,4;Fr;1899-12-30 10:11:00.000;1;205284;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2679;ja;nein;1979-03-16 00:00:00.000;nein;nein;Kreditkarte;Visa;2.2006;ja;17,8;Sa;1899-12-30 14:26:00.000;1;209662;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2680;ja;nein;1980-08-12 00:00:00.000;nein;nein;Kundenkarte;Kundenkarte;1.2007;nein;12,8;Di;1899-12-30 20:16:00.000;1;608889;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;15;nein;0;0;1899-12-30 00:00:00.000;0;0;nein
2681;ja;nein;1971-09-17 00:00:00.000;ja;nein;Rechnung;;11.2005;;32,8;Fr;1899-12-30 19:58:00.000;1;208500;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;13;nein;1;70,62;2002-10-27 00:00:00.000;0;2;nein
2682;nein;nein;1980-03-08 00:00:00.000;ja;nein;Kreditkarte;Amex;10.2007;ja;59,95;Di;1899-12-30 12:55:00.000;2;406858;406507.0;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;15;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2683;ja;nein;1899-12-30 00:00:00.000;ja;nein;Rechnung;;12.2005;;9,99;Mo;1899-12-30 22:28:00.000;1;105958;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2687;ja;nein;1950-04-25 00:00:00.000;ja;nein;Rechnung;;9.2006;;6,5;So;1899-12-30 12:21:00.000;1;309725;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;2;nein;1;26,39;2002-01-03 00:00:00.000;0;0;nein
2691;ja;nein;1969-10-01 00:00:00.000;ja;nein;Rechnung;;11.2005;;46,2;Di;1899-12-30 18:42:00.000;2;302611;102496.0;;;;;;;;;nein;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein;nein;8;nein;1;10,33;2003-08-11 00:00:00.000;0;0;nein
2694;ja;nein;1899-12-30 00:00:00.000;nein;nein;Lastschrift;;1.2006;ja;12,6;Do;1899-12-30 03:39:00.000;1;506858;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;nein;1;49,4;2003-06-27 00:00:00.000;1;1;nein
2695;ja;nein;1974-06-08 00:00:00.000;nein;nein;Kreditkarte;Eurocard;8.2007;ja;18,2;Do;1899-12-30 09:53:00.000;1;409386;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2696;ja;nein;1965-10-21 00:00:00.000;ja;nein;Rechnung;;8.2006;;87,09;Do;1899-12-30 10:30:00.000;3;406398;106504.0;408609.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;12;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2698;nein;nein;1962-09-22 00:00:00.000;ja;nein;Rechnung;;12.2006;;79,5;Fr;1899-12-30 21:53:00.000;2;201216;400124.0;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2700;ja;nein;1963-11-05 00:00:00.000;ja;nein;Lastschrift;;5.2007;ja;64,5;Mi;1899-12-30 14:28:00.000;1;401648;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2701;ja;nein;1957-01-13 00:00:00.000;ja;nein;Rechnung;;12.2007;;47,9;Di;1899-12-30 15:32:00.000;2;302845;206954.0;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2702;ja;nein;1971-04-30 00:00:00.000;nein;nein;Kreditkarte;Eurocard;5.2006;ja;18;Sa;1899-12-30 01:57:00.000;1;307344;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;nein;1;16,48;2002-12-11 00:00:00.000;0;0;nein
2703;ja;nein;1986-06-11 00:00:00.000;ja;nein;Rechnung;;12.2005;;62;Sa;1899-12-30 10:09:00.000;1;201216;;;;;;;;;;nein;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein;nein;8;nein;1;61,76;2004-04-29 00:00:00.000;0;0;nein
2707;ja;nein;1964-05-26 00:00:00.000;ja;nein;Rechnung;;6.2006;;71,99;Di;1899-12-30 17:37:00.000;3;206310;308801.0;401373.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2711;nein;nein;1982-04-16 00:00:00.000;ja;nein;Rechnung;;4.2007;;54,5;Fr;1899-12-30 11:36:00.000;1;609121;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2715;nein;nein;1966-08-08 00:00:00.000;nein;nein;Kreditkarte;Visa;10.2006;ja;56;So;1899-12-30 10:37:00.000;1;102454;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;16;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2717;ja;nein;1969-09-14 00:00:00.000;ja;nein;Kundenkarte;Kundenkarte;1.2007;ja;17,5;Di;1899-12-30 21:21:00.000;1;303776;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;13;nein;0;0;1899-12-30 00:00:00.000;0;0;nein
2721;ja;nein;1972-08-17 00:00:00.000;nein;nein;Kreditkarte;Visa;9.2006;ja;42,8;So;1899-12-30 13:19:00.000;1;209121;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;nein;1;29,13;2002-02-23 00:00:00.000;0;0;nein
2723;ja;nein;1970-07-21 00:00:00.000;nein;nein;Kreditkarte;Eurocard;10.2006;ja;22,95;So;1899-12-30 18:45:00.000;1;108499;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2724;nein;nein;1899-12-30 00:00:00.000;ja;nein;Rechnung;;11.2005;;68,4;So;1899-12-30 09:40:00.000;1;207344;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2725;ja;ja;1965-03-24 00:00:00.000;ja;nein;Rechnung;;8.2005;;32,8;Di;1899-12-30 23:46:00.000;1;307046;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2726;ja;nein;1976-02-03 00:00:00.000;ja;nein;Rechnung;;9.2005;;58,5;Mi;1899-12-30 19:10:00.000;2;501371;102448.0;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;nein;2;182,04;2003-09-07 00:00:00.000;0;0;nein
2727;ja;ja;1974-12-05 00:00:00.000;ja;nein;Rechnung;;7.2006;;52;Di;1899-12-30 14:21:00.000;1;100925;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;nein;1;89,12;2004-09-06 00:00:00.000;0;1;nein
2731;ja;nein;1983-08-06 00:00:00.000;ja;nein;Rechnung;;4.2007;;9,8;Mi;1899-12-30 10:20:00.000;1;206821;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2733;ja;nein;1974-12-16 00:00:00.000;ja;ja;Lastschrift;;3.2006;ja;46,5;Di;1899-12-30 07:41:00.000;1;400329;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;nein;1;28,59;2004-05-10 00:00:00.000;0;0;nein
2734;ja;nein;1978-03-21 00:00:00.000;ja;nein;Rechnung;;11.2005;;9,99;Fr;1899-12-30 05:53:00.000;1;101371;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2738;ja;nein;1968-10-07 00:00:00.000;ja;nein;Rechnung;;9.2005;;18,2;Mo;1899-12-30 08:04:00.000;1;106590;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;13;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2739;ja;nein;1967-08-15 00:00:00.000;nein;nein;Kundenkarte;Kundenkarte;3.2007;ja;35,6;Sa;1899-12-30 16:40:00.000;2;406811;402243.0;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;nein;1;52,88;2001-06-23 00:00:00.000;0;0;nein
2740;nein;nein;1972-07-13 00:00:00.000;ja;nein;Lastschrift;;12.2005;ja;12,6;Mi;1899-12-30 16:04:00.000;1;405540;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;14;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2742;ja;nein;1899-12-30 00:00:00.000;ja;nein;Rechnung;;10.2006;;56;Mi;1899-12-30 09:30:00.000;1;102454;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2750;ja;nein;1974-09-17 00:00:00.000;ja;nein;Kundenkarte;Kundenkarte;6.2006;ja;34,5;Do;1899-12-30 23:41:00.000;1;105431;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;nein;0;0;1899-12-30 00:00:00.000;0;0;nein
2751;ja;nein;1971-05-24 00:00:00.000;ja;nein;Rechnung;;9.2006;;41;Sa;1899-12-30 17:54:00.000;1;309500;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2752;ja;nein;1982-05-11 00:00:00.000;nein;nein;Kreditkarte;Eurocard;8.2006;ja;37;Sa;1899-12-30 21:47:00.000;1;600925;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2753;ja;nein;1965-04-09 00:00:00.000;nein;nein;Kreditkarte;Visa;1.2005;ja;17,99;Mo;1899-12-30 01:45:00.000;1;206590;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;16;nein;1;24,6;2003-10-30 00:00:00.000;0;0;nein
2755;ja;nein;1956-01-13 00:00:00.000;nein;nein;Kreditkarte;Eurocard;2.2006;ja;52,5;So;1899-12-30 18:16:00.000;2;207703;403776.0;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;13;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2757;ja;nein;1975-12-08 00:00:00.000;ja;nein;Kreditkarte;Eurocard;11.2007;ja;29,99;So;1899-12-30 15:48:00.000;1;502133;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;14;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2758;ja;nein;1965-02-23 00:00:00.000;ja;nein;Kreditkarte;Amex;1.2005;ja;9,99;Sa;1899-12-30 02:17:00.000;1;204077;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2762;ja;nein;1983-04-15 00:00:00.000;nein;nein;Kreditkarte;Visa;1.2007;ja;54,5;So;1899-12-30 06:02:00.000;1;203367;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;5;nein;1;32,23;2001-03-05 00:00:00.000;0;0;nein
2763;nein;nein;1981-10-15 00:00:00.000;ja;nein;Kreditkarte;Visa;12.2006;ja;17,99;Do;1899-12-30 00:15:00.000;1;407193;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2764;ja;nein;1968-02-14 00:00:00.000;ja;nein;Kreditkarte;Eurocard;6.2005;ja;123,7;Di;1899-12-30 00:29:00.000;4;104792;202634.0;404159.0;401796.0;;;;;;;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;6;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2768;ja;nein;1970-12-17 00:00:00.000;ja;nein;Kreditkarte;Eurocard;8.2007;ja;17,8;Fr;1899-12-30 03:01:00.000;1;400578;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;nein;1;8,3;2002-02-24 00:00:00.000;0;0;nein
2770;ja;nein;1899-12-30 00:00:00.000;ja;nein;Rechnung;;1.2005;;57,8;Mi;1899-12-30 16:35:00.000;1;408397;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2772;ja;ja;1978-05-31 00:00:00.000;ja;nein;Rechnung;;7.2006;;90,3;Di;1899-12-30 17:31:00.000;3;503776;504485.0;202681.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;nein;1;113,24;2004-11-12 00:00:00.000;0;0;nein
2773;ja;ja;1975-03-24 00:00:00.000;ja;nein;Rechnung;;9.2006;;23,5;Mo;1899-12-30 22:38:00.000;1;409121;;;;;;;;;;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;1;nein;1;13,57;2000-12-29 00:00:00.000;0;0;ja
2777;nein;nein;1939-11-19 00:00:00.000;ja;nein;Rechnung;;11.2007;;29,5;Fr;1899-12-30 17:11:00.000;1;401371;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2784;ja;nein;1970-08-25 00:00:00.000;nein;nein;Kreditkarte;Eurocard;11.2005;ja;29,99;Fr;1899-12-30 20:59:00.000;1;402641;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;nein;1;9,97;2003-04-09 00:00:00.000;0;0;nein
2787;ja;nein;1968-02-16 00:00:00.000;ja;nein;Rechnung;;2.2007;;54,5;Sa;1899-12-30 16:13:00.000;1;200576;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;nein;1;60,34;2001-03-06 00:00:00.000;0;0;nein
2790;ja;nein;1971-07-28 00:00:00.000;nein;nein;Lastschrift;;12.2005;ja;82,29;Di;1899-12-30 13:42:00.000;3;400914;503367.0;402062.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;11;nein;1;124,9;2001-10-15 00:00:00.000;0;0;nein
2793;nein;nein;1977-09-05 00:00:00.000;ja;nein;Rechnung;;4.2005;;8,5;Do;1899-12-30 22:36:00.000;1;508997;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;3;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2794;ja;nein;1960-12-13 00:00:00.000;ja;nein;Kreditkarte;Eurocard;9.2006;ja;18,2;So;1899-12-30 12:31:00.000;1;406859;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2795;ja;ja;1966-12-20 00:00:00.000;ja;nein;Kundenkarte;Kundenkarte;10.2007;ja;32,8;Sa;1899-12-30 16:23:00.000;1;409470;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;nein;0;0;1899-12-30 00:00:00.000;0;0;nein
2796;ja;nein;1976-03-20 00:00:00.000;nein;nein;Kreditkarte;Eurocard;6.2006;ja;184,7;Di;1899-12-30 11:54:00.000;4;103397;406255.0;207359.0;404242.0;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2799;ja;nein;1980-03-30 00:00:00.000;ja;nein;Lastschrift;;3.2005;ja;105,2;Mi;1899-12-30 04:24:00.000;3;101511;407274.0;107344.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2803;ja;ja;1973-05-10 00:00:00.000;nein;nein;Kreditkarte;Eurocard;9.2006;ja;14,5;Fr;1899-12-30 17:54:00.000;1;509102;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;14;nein;1;57,78;2004-10-28 00:00:00.000;0;0;nein
2804;ja;nein;1977-05-15 00:00:00.000;ja;nein;Rechnung;;5.2005;;43,5;Mo;1899-12-30 10:17:00.000;1;205378;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2807;ja;nein;1969-05-18 00:00:00.000;nein;nein;Kreditkarte;Eurocard;6.2006;ja;41;Sa;1899-12-30 20:37:00.000;1;300767;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;3;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
2808;nein;nein;1973-03-12 00:00:00.000;nein;nein;Kreditkarte;Eurocard;4.2006;ja;17,8;Sa;1899-12-30 15:11:00.000;1;202294;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;nein;1;16,25;2001-12-01 00:00:00.000;0;0;nein
2810;ja;nein;1954-07-12 00:00:00.000;ja;nein;Rechnung;;10.2005;;8,5;Fr;1899-12-30 22:30:00.000;1;205431;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
2812;ja;nein;1961-08-22 00:00:00.000;ja;nein;Rechnung;;10.2007;;14,5;Di;1899-12-30 02:31:00.000;1;402469;;;;;;;;;;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;14;nein;1;120,4;2004-03-16 00:00:00.000;0;0;ja
